Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Greece,GRC,9.7,11.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Greenland,GRL,8,9.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Grenada,GRD,7.213,8.481
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Guam,GUM,4.541,6.534
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Guatemala,GTM,6.25,5.117
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Guinea,GIN,14.892,9.945
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Guinea-Bissau,GNB,15.769,7.863
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Guyana,GUY,7.759,7.503
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Haiti,HTI,10.393,7.876
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Honduras,HND,5.243,4.486
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Hong Kong SAR, China",HKG,5.1,6.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Hungary,HUN,13.3,13.4
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Iceland,ISL,6.5,6.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,India,IND,8.628,6.67
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Indonesia,IDN,7.431,7.558
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Iran, Islamic Rep.",IRN,4.957,4.659
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Iraq,IRQ,6.801,4.36
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Ireland,IRL,8.2,6.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Isle of Man,IMN,12.743,10.085
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Israel,ISR,6,5.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Italy,ITA,9.8,10.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Jamaica,JAM,6.92,7.531
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Japan,JPN,7.7,11.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Jordan,JOR,3.731,3.033
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Kazakhstan,KAZ,10.622,6.911
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Kenya,KEN,9.942,7.294
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Kiribati,KIR,7.204,7.171
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Korea, Dem. People's Rep.",PRK,10.693,9.326
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Korea, Rep.",KOR,5.2,5.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Kosovo,XKX,5.62,5.702
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Kuwait,KWT,2.023,1.64463780206516
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Kyrgyz Republic,KGZ,7,5.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Lao PDR,LAO,10.033,6.599
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Latvia,LVA,13.6,14.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Lebanon,LBN,4.527,5.458
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Lesotho,LSO,15.879,11.83
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Liberia,LBR,14.843,8.513
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Libya,LBY,4.761,5.165
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Liechtenstein,LIE,7.3,6.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Lithuania,LTU,11.1,13.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Luxembourg,LUX,8.6,6.9
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Macao SAR, China",MAC,3.1,3.4
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Madagascar,MDG,10.464,7.518
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Malawi,MWI,18.022,6.301
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Malaysia,MYS,4.431,4.98
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Maldives,MDV,4.412,2.579
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mali,MLI,16.02,9.475
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Malta,MLT,7.5,7.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Marshall Islands,MHL,6.745,6.787
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mauritania,MRT,8.861,6.115
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mauritius,MUS,6.7,8.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mexico,MEX,5.481,6.083
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Micronesia, Fed. Sts.",FSM,6.888,7.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Moldova,MDA,11.819,13.919
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Monaco,MCO,11.108,22.362
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mongolia,MNG,7.08,5.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Montenegro,MNE,9,10.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Morocco,MAR,6.458,5.629
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mozambique,MOZ,15.664,8.078
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Myanmar,MMR,9.983,8.847
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Namibia,NAM,12.213,7.722
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Nauru,NRU,7.896,7.573
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Nepal,NPL,8.369,7.024
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Netherlands,NLD,8.8,8.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,New Caledonia,NCL,5.161,6.278
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,New Zealand,NZL,6.91,6.87
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Nicaragua,NIC,6.145,4.95
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Niger,NER,17.7,9.573
