Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Micronesia, Fed. Sts.",FSM,3.15411802506158,4.77276436771186
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Moldova,MDA,10.1002569914071,13.8014600191097
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Monaco,MCO,22.2357454282149,36.2853919021753
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mongolia,MNG,3.42665024425888,4.17415725035646
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Montenegro,MNE,11.0933019654096,16.2013123164339
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Morocco,MAR,4.32319661006496,6.72020202315888
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mozambique,MOZ,2.70113285403567,2.80919999009516
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Myanmar,MMR,5.00086099085685,6.31825313612298
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Namibia,NAM,3.14494786508872,3.57099401639958
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nauru,NRU,1.62281780181952,2.04108052127384
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nepal,NPL,3.81572385710734,6.04820039203474
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Netherlands,NLD,13.4807797576145,19.0648534024819
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,New Caledonia,NCL,5.37252687159903,9.99185489728708
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,New Zealand,NZL,11.7580764490843,15.3016117661383
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nicaragua,NIC,3.52717354352055,5.11546955676403
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Niger,NER,2.25173181066637,2.5107464204291
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nigeria,NGA,3.03726044526388,2.97488504235954
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,North Macedonia,MKD,9.76010479996986,15.7588026396984
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Northern Mariana Islands,MNP,1.58068362189404,5.71277192545035
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Norway,NOR,15.1610925017374,17.3948556308139
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Oman,OMN,2.53342105833954,2.61074293420886
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Pakistan,PAK,3.47834412663736,3.98447495645256
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Palau,PLW,5.20374377558203,9.09371839532532
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Panama,PAN,4.94600577969109,8.06954352497892
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Papua New Guinea,PNG,2.51492510425427,3.05067327435397
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Paraguay,PRY,3.99281063536637,6.03178053058008
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Peru,PER,4.30714618898456,8.60697377690978
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Philippines,PHL,2.98848745457432,4.51942674426754
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Poland,POL,12.2441691813974,17.5584217024462
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Portugal,PRT,16.1309006351084,22.3900784021367
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Puerto Rico (US),PRI,11.56440935193,21.6954965103704
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Qatar,QAT,1.24381966204075,1.17212029932225
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Romania,ROU,13.4875679488788,18.604236526527
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Russian Federation,RUS,12.3296983445071,15.063299330246
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Rwanda,RWA,2.14435707728474,3.35702522122747
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Samoa,WSM,4.46266890497289,5.17090564139966
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,San Marino,SMR,15.5266987574163,19.6534210602257
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sao Tome and Principe,STP,4.23765002412884,3.82254255079853
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Saudi Arabia,SAU,2.22837924894494,2.45024814989585
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Senegal,SEN,3.22899884232554,3.51051951175819
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Serbia,SRB,16.0681726957932,21.0643608505556
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Seychelles,SYC,7.42096545764421,7.36545956030786
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sierra Leone,SLE,3.53924615667538,3.13516272846153
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Singapore,SGP,6.24975683013051,10.9750531897302
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sint Maarten (Dutch part),SXM,2.9684631257413,10.6426970743726
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Slovak Republic,SVK,11.3287846336031,16.259188968312
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Slovenia,SVN,13.9071257730963,19.8516683589804
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Solomon Islands,SLB,3.39365539913138,3.7418955238434
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Somalia, Fed. Rep.",SOM,2.60195686860745,2.51777325278675
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,South Africa,ZAF,4.74652112268227,5.94522019077183
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,South Sudan,SSD,2.43339672851046,2.62643590603589
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Spain,ESP,16.547877414587,19.3818276285973
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sri Lanka,LKA,6.20541999740995,10.3754608627101
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,St. Kitts and Nevis,KNA,7.80153599646389,8.95605039242623
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,St. Lucia,LCA,6.3284914510516,8.52717105281673
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,St. Martin (French part),MAF,3.81384184557941,16.2097091911926
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,St. Vincent and the Grenadines,VCT,7.02584878242107,10.5407662695479
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sudan,SDN,2.91421952701906,2.9179533217527
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Suriname,SUR,4.49445392043941,6.77123915426368
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sweden,SWE,17.2641350678943,19.9506621429353
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Switzerland,CHE,15.3331918616722,18.582145616847
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Syrian Arab Republic,SYR,3.31790609481203,4.4946862790511
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Tajikistan,TJK,3.61844185805433,3.18626005591206
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Tanzania,TZA,2.79254270965659,3.00234097600619
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Thailand,THA,6.11782601888353,12.3287535151114
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Timor-Leste,TLS,2.36965298058753,5.56015264294518
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Togo,TGO,2.7902428319332,2.99903061159381
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Tonga,TON,5.40137810133671,6.23547949029758
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Trinidad and Tobago,TTO,4.90898255724747,9.84595533418547
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Tunisia,TUN,5.48804956264176,7.94574369640089
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Turkiye,TUR,5.81220499143906,8.52263227141434
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Turkmenistan,TKM,4.01246913103411,3.72875616489817
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Turks and Caicos Islands,TCA,4.00704770549134,9.8145509724201
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Tuvalu,TUV,5.97757753562448,5.61856157263019
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Uganda,UGA,2.59212338256219,2.0364020510638
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Ukraine,UKR,13.4141415099403,16.7162998851047
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,United Arab Emirates,ARE,1.27509767571933,1.52798923207058
